,x
583,0.005141388
584,0.054841474
585,0.06083976
586,0.078834619
587,0.122536418
588,0.12596401
589,0.150814053
590,0.190231362
591,0.225364182
592,0.235646958
593,0.293059126
594,0.318766067
595,0.330762639
596,0.383890317
597,0.410454156
598,0.45672665
599,0.506426735
600,0.527849186
601,0.577549272
602,0.562125107
603,0.502999143
604,0.518423308
605,0.550985433
606,0.552699229
607,0.565552699
608,0.600685518
609,0.604113111
610,0.59982862
611,0.645244216
612,0.652956298
613,0.654670094
614,0.686375321
615,0.686375321
616,0.70865467
617,0.735218509
618,0.740359897
619,0.738646101
620,0.774635818
621,0.777206512
622,0.778920308
623,0.807197943
624,0.820908312
625,0.824335904
626,0.844901457
627,0.857754927
628,0.860325621
629,0.889460154
630,0.892887746
631,0.885175664
632,0.904027421
633,0.911739503
634,0.897172237
635,0.925449871
636,0.910882605
637,0.899742931
638,0.925449871
639,0.921165381
640,0.916880891
641,0.940017138
642,0.946015424
643,0.928020566
644,0.854327335
645,0.811482434
646,1.1302485
647,1.629820051
648,1.680377035
649,1.546700943
650,1.286203942
651,1.103684662
652,0.970865467
653,0.907455013
654,0.856041131
655,0.827763496
656,0.832904884
657,0.839760069
658,0.819194516
659,0.838903171
660,0.851756641
661,0.841473865
662,0.861182519
663,0.880891174
664,0.868037704
665,0.907455013
666,0.929734362
667,0.923736075
668,0.941730934
669,0.976006855
670,0.967437875
671,1.002570694
672,1.027420737
673,1.020565553
674,1.055698372
675,1.010282776
676,0.928020566
677,0.936589546
678,0.940017138
679,0.914310197
680,0.937446444
681,0.953727506
682,0.952870608
683,0.972579263
684,0.99571551
685,0.988860326
686,0.994001714
687,1.028277635
688,1
689,0.996572408
690,1.005141388
691,0.989717224
692,0.983718937
693,0.98714653
694,0.953727506
695,0.948586118
696,0.941730934
697,0.913453299
698,0.906598115
699,0.928877464
700,0.910025707
701,0.918594687
702,0.929734362
703,0.901456727
704,0.897172237
705,0.917737789
706,0.892030848
707,0.892887746
708,0.908311911
709,0.872322194
710,0.880891174
711,0.903170523
712,0.880034276
713,0.862896315
714,0.880034276
715,0.856041131
716,0.854327335
717,0.871465296
718,0.838903171
719,0.823479006
720,0.853470437
721,0.824335904
722,0.811482434
723,0.83033419
724,0.803770351
725,0.793487575
726,0.808054841
727,0.783204799
